Code,Klassifikator,Klassifikator_ru,Klassifikator_en,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,8245.8,9504.8,11753.9,15219.3,20060.4,25423.1,29413.9,34698.0,51129.3,71156.5,88130.3,107492.7,130790.9,150792.6
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,237.1,398.6,537.2,720.8,1053.5,1219.3,1171.8,1398.8,2182.7,3315.4,3992.5,4480.6,5272.4,5315.9
1735401,Nukus shahri,Город Нукус,Nukus city,71.5,157.9,248.2,339.7,487.1,509.2,493.9,546.1,897.9,1189.1,1321.6,1248.2,1731.7,1711.6
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,15.5,25.0,30.6,49.4,51.1,63.9,71.4,82.4,112.6,116.5,174.1,220.0,267.9,288.3
1735207,Beruniy tumani,Берунийский район,Beruniy  district,13.0,19.4,24.1,25.1,41.6,51.5,54.9,73.1,117.8,178.9,212.0,231.6,299.8,371.2
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.9,61.8,74.2,62.4,95.3
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,2.2,3.7,6.0,14.5,21.6,30.9,23.9,21.9,50.4,48.7,72.9,125.0,139.5,222.1
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,5.6,8.8,13.7,11.9,24.4,17.0,39.2,23.9,38.0,76.9,73.7,84.1,119.1,91.7
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,50.7,59.5,62.3,97.6,187.7,234.4,153.2,232.6,274.0,326.7,406.2,331.3,379.9,281.3
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,2.7,4.7,8.4,9.4,13.9,20.6,14.1,16.4,32.5,71.3,68.8,76.0,116.1,88.5
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,1.4,1.8,1.1,1.4,1.7,6.5,8.8,17.0,19.8,123.7,299.7,314.5,159.7,187.6
1735225,Nukus tumani,Нукусский район,Nukus district,2.0,2.5,1.9,5.2,12.6,17.9,24.5,55.7,94.8,170.9,166.3,234.1,300.4,208.3
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,21.4,36.7,31.8,0.0,0.0,0.0,21.9,48.4,77.1,164.0,194.9,365.7,287.9,278.8
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,2.1,3.6,4.9,6.9,8.8,6.0,8.8,16.3,59.3,55.5,87.2,99.6,86.5,59.8
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,23.1,25.7,31.2,40.6,52.9,75.1,101.7,107.6,151.5,285.0,354.0,477.7,556.9,606.6
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,11.0,18.8,27.5,68.5,74.5,92.7,55.0,32.3,72.8,218.6,142.3,174.9,176.6,190.0
1735240,Chimboy tumani,Чимбайский район,Chimbay district,2.6,5.2,6.3,6.4,12.6,17.8,21.4,35.8,41.0,61.1,95.9,103.4,129.7,160.7
1735243,Shumanay tumani,Шуманайский район,Shumanai district,1.1,2.9,2.8,5.9,5.5,7.0,8.9,14.6,33.1,44.0,99.8,46.4,51.5,49.8
1735250,Ellikkala tumani,Элликкалинский район,Ellikkala district,11.2,22.4,36.4,38.3,57.5,68.8,70.2,74.7,110.1,142.6,161.3,273.9,406.8,424.3
1703,Andijon viloyati,Андижанская область,Andijan region,345.3,534.4,672.9,862.7,1131.8,1341.9,1578.0,1782.9,2819.5,3539.1,4673.0,5657.8,6864.1,7384.3
1703401,Andijon shahri,Город Андижан,Andijan city,109.6,195.3,185.9,248.6,368.8,418.1,585.4,647.3,1057.1,1189.6,1662.4,1929.8,2391.3,3146.3
1703408,Xonobod shahri,Город Ханабад,Khanabadcity,12.0,14.4,15.4,25.8,20.0,16.4,23.2,25.8,87.0,96.2,120.3,134.5,178.7,150.3
1703202,Oltinko‘l tumani,Алтынкульский район,Altynkul  district,14.9,20.9,29.4,44.1,60.9,60.8,144.4,173.3,184.5,246.4,298.6,350.0,421.0,357.1
1703203,Andijon tumani,Андижанский район,Andijan district,27.1,50.6,70.4,84.8,69.1,93.3,97.5,144.7,270.8,427.6,504.4,504.2,861.1,487.7
1703206,Baliqchi tumani,Балыкчинский район,Balykchi district,24.3,27.0,24.4,42.1,58.1,100.9,52.3,45.8,65.2,127.4,125.0,161.7,211.2,266.3
1703209,Bo‘ston tumani,Бустонский район,Bustan district,11.6,15.6,27.5,26.5,42.5,74.0,69.3,65.8,121.8,117.8,173.4,184.6,244.7,320.9
1703210,Buloqboshi tumani,Булакбашинский район,Bulakbashi district,10.9,12.6,19.5,22.1,36.5,32.4,16.5,18.3,43.8,69.8,86.8,123.8,149.7,196.0
1703211,Jalaquduq tumani,Жалакудукский район,Jalаquduk district,12.4,18.6,22.2,38.6,46.6,58.9,65.1,70.5,120.7,150.9,215.9,237.8,211.7,207.3
1703214,Izboskan tumani,Избасканский район,Izbaskan district,13.2,21.9,59.1,55.6,74.2,70.4,88.4,84.9,113.8,118.6,166.4,192.7,172.0,322.1
1703217,Ulug‘nor tumani,Улугноpский район,Ulugnor district,6.6,10.5,18.0,37.9,25.2,29.8,22.9,21.3,54.4,55.5,109.1,144.6,132.4,86.1
1703220,Qo‘rg‘ontepa tumani,Кургантепинский район,Kurgantepa district,22.6,27.5,25.4,37.3,48.3,60.7,62.7,63.7,88.5,121.2,116.5,182.1,282.8,237.7
1703224,Asaka tumani,Асакинский район,Asaka district,20.8,30.2,35.4,53.6,52.8,59.9,58.5,68.6,136.3,154.4,210.0,298.9,241.0,299.7
1703227,Marxamat tumani,Мархаматский район,Markhamat district,15.9,21.5,32.1,28.7,52.4,51.4,59.4,65.6,120.6,160.3,206.1,259.4,280.7,207.8
1703230,Shaxrixon tumani,Шахриханский район,Shakhrikhan district,17.8,27.4,58.3,55.6,87.4,110.4,118.1,162.7,162.2,251.5,307.3,426.2,459.3,502.2
